Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-06-22T04:16:31.045 ,7,-0.006774111235196024,2.0082824814049767,FoVP,0.6599012437704188,0.7200497717192501,2457561.6809383957
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-06-22T06:03:05.307 ,6,-0.0027051835873163244,2.011522402354589,FoVF,0.658368614597253,0.7212956514332128,2457561.7549481583
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-07-21T22:13:11.526 ,2,0.0023054558651206905,-2.3309194840847534,FoVP,-0.5946018525833069,0.7273255908990278,2457591.429218538
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-07-21T23:59:45.729 ,5,-0.0013097699953006727,-2.327175783856471,FoVF,-0.5963114023720558,0.7258440239386125,2457591.50322629
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-09-01T09:50:27.029 ,7,-0.00703921358156483,-2.968148304907315,FoVP,0.6160061890962031,0.7175429112065861,2457632.913268963
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-09-01T11:37:01.302 ,6,-0.0031937245365030275,-2.964535980720283,FoVF,0.6144042026412442,0.7190078536505385,2457632.987275434
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-10-01T05:29:54.058 ,3,0.003442267252128472,-0.9948960719257514,FoVF,-0.6693035224859075,0.7210096909534673,2457662.731542887
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-11-01T23:10:13.031 ,7,-0.004596799297827921,-2.018786109214652,FoVF,0.7132586920301324,0.7102452460499314,2457694.466643863
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-12-06T20:40:58.807 ,1,0.0035770335831284976,0.0964612975210259,FoVP,-0.6775989753597575,0.7059384306838709,2457729.3616081774
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-12-06T22:27:33.017 ,6,-0.0019295698438276398,0.09589919054802207,FoVF,-0.6762479211724592,0.7070765176619026,2457729.435612577
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-12-27T20:36:47.299 ,6,-0.005277419576627919,-1.0236335295200347,FoVP,0.6214229301689883,0.7104979090891734,2457750.358036354
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2016-12-27T22:23:21.497 ,5,1.1475630234854577E-4,-1.0249703957039196,FoVF,0.6232244346061658,0.7087468451765135,2457750.43204134
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-02-04T19:24:23.131 ,5,-0.002625580788182429,1.119084123431292,FoVP,-0.5747249849493109,0.7007935286792691,2457789.307243798
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-02-22T08:48:08.953 ,3,0.0012681706281446048,0.08333942988687343,FoVP,0.5822223520842923,0.7085059720365673,2457806.865531316
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-02-22T10:34:43.189 ,1,0.006357983427037844,0.08128185637190184,FoVF,0.5847372140902022,0.7065473609476313,2457806.939539653
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-04-01T21:30:01.330 ,1,0.007016476112432346,2.2219180734729287,FoVF,-0.6767763382057987,0.7076546520549032,2457845.395572823
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-04-02T01:43:41.351 ,7,-0.0057406680148928205,2.2208580838379732,FoVP,-0.6741453660131381,0.7105546913955993,2457845.5717366305
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-04-27T01:35:00.236 ,1,0.004701876366648779,1.0769118738815684,FoVP,0.7133315084724366,0.7145697558559934,2457870.5666707773
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-05-31T02:53:17.620 ,1,0.006434347379074641,-3.1280798988600633,FoVF,-0.6959655652356812,0.72229365864175,2457904.6224120115
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-05-31T07:06:57.623 ,6,-0.004753446850246196,-3.122640835834598,FoVP,-0.6977657806466193,0.7203072959751685,2457904.798576035
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-07-07T06:45:18.998 ,3,9.433730419092658E-4,2.2904445194426972,FoVP,0.6223604817801534,0.7220479864247923,2457941.7846419546
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-07-07T08:31:53.173 ,2,0.004658151424381335,2.2940795912001457,FoVF,0.6206092306757948,0.7234302384302463,2457941.85865009
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-08-05T02:31:14.260 ,4,0.0018114374256054625,-2.0854714122697584,FoVF,-0.5815206789956802,0.7254455755464528,2457970.6085075224
source,0.3024882115626467,-1.260293448429521,01:09:19.511,-72:12:34.184,2017-08-05T06:44:54.354 ,7,-0.006527556808037173,-2.076258936006667,FoVP,-0.5858308656613023,0.7219437455932094,2457970.7846661676
